Date,Sticky Price CPI,Date,Unemployment,Date,GDP,Date,Corporate Tax Rate
2012-01-01,2.113351000,2012-01-01,8.3,2012-01-01,16068.805,1/1/12,0.35
2012-02-01,2.016080000,2012-02-01,8.3,2012-04-01,16207.115,1/1/13,0.35
2012-03-01,2.122799000,2012-03-01,8.2,2012-07-01,16319.541,1/1/14,0.35
2012-04-01,2.191796000,2012-04-01,8.2,2012-10-01,16420.419,1/1/15,0.35
2012-05-01,2.188203000,2012-05-01,8.2,2013-01-01,16648.189,16-Jan,0.35
2012-06-01,2.238927000,2012-06-01,8.2,2013-04-01,16728.687,1/1/17,0.35
2012-07-01,2.260479000,2012-07-01,8.2,2013-07-01,16953.838,1/1/18,0.21
2012-08-01,2.171070000,2012-08-01,8.1,2013-10-01,17192.019,1/1/19,0.21
2012-09-01,2.219253000,2012-09-01,7.8,2014-01-01,17197.738,1/1/20,0.21
2012-10-01,2.206525000,2012-10-01,7.8,2014-04-01,17518.508,1/1/21,0.21
2012-11-01,2.195661000,2012-11-01,7.7,2014-07-01,17804.228,1/1/22,0.21
2012-12-01,2.107127000,2012-12-01,7.9,2014-10-01,17912.079,1/1/23,0.21
2013-01-01,2.065935000,2013-01-01,8.0,2015-01-01,18063.529,,
2013-02-01,2.143683000,2013-02-01,7.7,2015-04-01,18279.784,,
2013-03-01,2.096923000,2013-03-01,7.5,2015-07-01,18401.626,,
2013-04-01,1.932255000,2013-04-01,7.6,2015-10-01,18435.137,,
2013-05-01,1.905048000,2013-05-01,7.5,2016-01-01,18525.933,,
2013-06-01,1.874046000,2013-06-01,7.5,2016-04-01,18711.702,,
2013-07-01,1.865294000,2013-07-01,7.3,2016-07-01,18892.639,,
2013-08-01,1.911745000,2013-08-01,7.2,2016-10-01,19089.379,,
2013-09-01,1.888205000,2013-09-01,7.2,2017-01-01,19280.084,,
2013-10-01,1.866698000,2013-10-01,7.2,2017-04-01,19438.643,,
2013-11-01,1.890963000,2013-11-01,6.9,2017-07-01,19692.595,,
2013-12-01,1.872378000,2013-12-01,6.7,2017-10-01,20037.088,,
2014-01-01,1.821944000,2014-01-01,6.6,2018-01-01,20328.553,,
2014-02-01,1.789204000,2014-02-01,6.7,2018-04-01,20580.912,,
2014-03-01,1.821445000,2014-03-01,6.7,2018-07-01,20798.730,,
2014-04-01,2.025724000,2014-04-01,6.2,2018-10-01,20917.867,,
2014-05-01,2.127518000,2014-05-01,6.3,2019-01-01,21104.133,,
2014-06-01,2.142724000,2014-06-01,6.1,2019-04-01,21384.775,,
